v12,v13,v14,v23,v24,v34,c
3.1369e+06,2.0847e+06,2.0433e+06,1.7769e+06,1.5844e+06,1.4411e+06,4
7.3461e+06,4.3955e+06,5.9247e+06,4.3104e+06,4.7242e+06,3.9102e+06,3
2.1113e+06,2.316e+06,1.6363e+06,1.8508e+06,1.9415e+06,1.6341e+06,1
9.6672e+06,6.4336e+06,5.0128e+06,7.0458e+06,4.4138e+06,3.6667e+06,4
5.3816e+06,5.3659e+06,4.9053e+06,3.0379e+06,3.7757e+06,3.9682e+06,2
3.7065e+06,3.2305e+06,3.01e+06,2.4036e+06,2.4719e+06,3.1193e+06,2
2.0284e+06,1.9452e+06,2.3483e+06,2.4985e+06,2.5436e+06,1.9958e+06,1
4.8554e+06,3.2812e+06,3.1946e+06,3.0725e+06,2.7146e+06,2.4775e+06,4
3.5132e+06,2.7868e+06,2.8519e+06,2.8884e+06,2.4122e+06,2.1042e+06,4
4.5964e+06,4.1858e+06,4.0896e+06,4.3736e+06,3.4234e+06,3.1377e+06,2
4.9286e+06,3.0418e+06,3.3161e+06,2.5393e+06,3.0765e+06,2.3277e+06,3
2.807e+06,2.3453e+06,2.1532e+06,2.4092e+06,2.3238e+06,2.0943e+06,1
2.6955e+06,1.9308e+06,2.0997e+06,2.8106e+06,2.0418e+06,1.7514e+06,1
4.6817e+06,4.1933e+06,3.2132e+06,3.9451e+06,2.8298e+06,3.5721e+06,1
9.3218e+06,5.0641e+06,6.3505e+06,4.7344e+06,5.7666e+06,3.5594e+06,3
1.4822e+07,1.2878e+07,7.6979e+06,8.1731e+06,5.7141e+06,6.0166e+06,4
3.8458e+06,2.4229e+06,3.094e+06,2.7068e+06,3.6566e+06,2.2019e+06,2
3.5537e+06,2.1155e+06,2.6301e+06,1.9723e+06,2.2099e+06,1.5213e+06,3
4.6222e+06,2.9842e+06,3.7279e+06,3.4375e+06,4.455e+06,2.9351e+06,1
2.5982e+06,2.24e+06,2.3055e+06,2.1948e+06,1.9302e+06,1.607e+06,4
5.1735e+06,4.4925e+06,4.0432e+06,4.2383e+06,5.0401e+06,4.181e+06,1
2.6544e+06,1.9719e+06,2.116e+06,1.9212e+06,2.0497e+06,1.4438e+06,2
7.4574e+06,2.4285e+06,4.5949e+06,2.6841e+06,5.0296e+06,2.4701e+06,3
3.7246e+06,2.7204e+06,2.7416e+06,2.4186e+06,2.3397e+06,2.0795e+06,1
1.8056e+06,1.549e+06,1.5799e+06,1.9573e+06,1.8235e+06,1.7973e+06,1
3.513e+06,2.5887e+06,2.2691e+06,2.7141e+06,2.1851e+06,1.9751e+06,4
5.9494e+06,3.2379e+06,5.4306e+06,3.6467e+06,4.1017e+06,3.3118e+06,3
7.028e+06,3.2418e+06,5.0932e+06,4.5786e+06,5.9696e+06,3.33e+06,3
5.85e+06,5.0052e+06,4.8003e+06,4.664e+06,4.834e+06,4.2103e+06,2
2.2215e+06,1.9091e+06,2.0798e+06,2.233e+06,2.0173e+06,2.2557e+06,1
2.8226e+06,1.7445e+06,2.0311e+06,1.6582e+06,2.3215e+06,1.2288e+06,3
4.0737e+06,3.2159e+06,2.1893e+06,3.4609e+06,2.0292e+06,1.6282e+06,4
4.3615e+06,3.1495e+06,2.6275e+06,2.7396e+06,2.3478e+06,1.9848e+06,4
3.623e+06,3.2322e+06,2.8665e+06,3.6335e+06,3.542e+06,3.124e+06,1
3.7975e+06,2.0963e+06,2.8862e+06,2.1992e+06,3.5164e+06,1.7526e+06,3
3.7155e+06,3.0133e+06,2.3475e+06,2.8608e+06,2.1502e+06,1.7604e+06,4
3.5168e+06,2.8246e+06,3.1319e+06,2.6171e+06,2.5113e+06,2.6351e+06,2
5.8086e+06,3.2458e+06,4.986e+06,3.6621e+06,3.9862e+06,2.6312e+06,3
5.5574e+06,2.8565e+06,3.7072e+06,2.781e+06,3.1403e+06,1.9646e+06,3
3.1764e+06,2.2381e+06,2.133e+06,2.2319e+06,1.7849e+06,1.8094e+06,2
4.587e+06,3.8307e+06,3.3029e+06,3.0087e+06,2.1524e+06,2.3802e+06,4
2.7279e+06,2.3765e+06,2.2003e+06,2.5481e+06,2.9806e+06,2.311e+06,1
3.7758e+06,2.3734e+06,3.1608e+06,2.1483e+06,2.7169e+06,2.2307e+06,2
3.034e+06,2.4525e+06,2.3751e+06,2.1311e+06,2.055e+06,1.9032e+06,2
3.1081e+06,1.7576e+06,1.9023e+06,1.5459e+06,2.1245e+06,1.4156e+06,2
3.8684e+06,3.7916e+06,3.3854e+06,2.8805e+06,3.0029e+06,3.0324e+06,2
2.5555e+06,2.4648e+06,1.9942e+06,2.2759e+06,1.758e+06,1.6769e+06,4
4.8859e+06,2.6736e+06,3.5143e+06,2.4711e+06,3.6141e+06,2.4895e+06,3
6.2487e+06,6.7614e+06,3.8885e+06,5.5741e+06,2.9332e+06,2.8605e+06,4
8.8711e+06,5.3348e+06,5.6996e+06,5.3685e+06,6.7095e+06,3.9957e+06,3
2.6734e+06,2.5246e+06,2.0025e+06,2.5173e+06,1.9201e+06,1.5489e+06,4
6.767e+06,4.6163e+06,3.7195e+06,4.0693e+06,3.1016e+06,2.6558e+06,4
3.1903e+06,2.4633e+06,2.5688e+06,2.0874e+06,2.2989e+06,1.7867e+06,2
2.78e+06,2.2623e+06,1.988e+06,2.1954e+06,1.7344e+06,1.8126e+06,2
7.5287e+06,4.3331e+06,5.1967e+06,4.0756e+06,5.7094e+06,3.8992e+06,3
5.0122e+06,3.3995e+06,3.054e+06,3.2486e+06,3.1845e+06,3.276e+06,2
2.1281e+06,1.7089e+06,1.5316e+06,2.0578e+06,1.7577e+06,1.4687e+06,1
5.1947e+06,2.9832e+06,2.8242e+06,2.8461e+06,3.0235e+06,2.1706e+06,4
3.3872e+06,2.0786e+06,2.3156e+06,1.7743e+06,2.4476e+06,1.5332e+06,1
4.9855e+06,3.5854e+06,3.0195e+06,3.632e+06,2.1933e+06,1.8963e+06,4
1.0058e+07,4.8337e+06,5.7341e+06,6.7437e+06,4.8034e+06,3.9636e+06,4
5.7867e+06,2.9461e+06,4.4256e+06,2.9179e+06,3.8034e+06,2.0257e+06,3
1.8906e+06,1.8066e+06,1.9613e+06,2.0598e+06,2.4563e+06,2.1453e+06,1
2.8854e+06,2.3762e+06,2.3126e+06,2.8145e+06,2.7228e+06,2.7189e+06,2
2.7686e+06,1.5564e+06,2.5556e+06,2.0624e+06,2.3217e+06,1.8256e+06,3
2.2009e+06,2.5323e+06,1.9029e+06,1.9375e+06,1.9653e+06,2.1609e+06,1
6.2403e+06,6.0055e+06,4.4101e+06,4.1198e+06,3.0199e+06,3.9536e+06,2
4.0286e+06,3.7534e+06,3.5933e+06,3.746e+06,4.7511e+06,3.5822e+06,1
4.6004e+06,4.2801e+06,3.856e+06,3.4887e+06,3.8926e+06,3.7332e+06,2
2.6348e+06,2.8682e+06,2.0048e+06,2.3494e+06,2.014e+06,3.1163e+06,1
5.8776e+06,2.9575e+06,4.0171e+06,2.1438e+06,4.0478e+06,1.7225e+06,3
7.715e+06,3.8826e+06,5.9952e+06,4.3356e+06,6.1547e+06,3.523e+06,3
2.2893e+06,1.9561e+06,1.6322e+06,1.9397e+06,1.759e+06,1.7757e+06,1
4.6431e+06,4.1811e+06,3.8624e+06,3.7998e+06,3.6588e+06,3.5361e+06,4
3.6068e+06,2.7287e+06,3.2038e+06,3.6611e+06,3.484e+06,2.6682e+06,3
2.3583e+06,1.4042e+06,1.6729e+06,1.4568e+06,1.9125e+06,1.2291e+06,3
3.222e+06,1.8134e+06,2.5184e+06,2.3233e+06,2.9183e+06,2.1324e+06,3
3.0714e+06,3.0581e+06,3.2383e+06,2.5296e+06,2.8497e+06,2.8025e+06,2
2.5629e+06,1.7945e+06,1.8939e+06,1.7288e+06,1.5718e+06,1.3769e+06,1
6.9704e+06,4.4136e+06,4.0702e+06,3.8591e+06,3.2175e+06,2.8991e+06,4
2.3669e+06,2.1342e+06,1.7972e+06,2.5811e+06,2.2827e+06,1.9892e+06,1
2.6466e+06,2.3815e+06,1.9177e+06,2.3765e+06,2.0722e+06,2.058e+06,4
1.9606e+06,1.5422e+06,1.9588e+06,1.2632e+06,1.6475e+06,1.4144e+06,2
4.2643e+06,2.9807e+06,2.5221e+06,3.0617e+06,2.4177e+06,2.1537e+06,4
3.0146e+06,3.0311e+06,2.2723e+06,2.2522e+06,2.4446e+06,2.1633e+06,1
5.6757e+06,4.63e+06,3.4008e+06,3.9817e+06,2.6438e+06,2.7515e+06,4
7.0308e+06,5.1143e+06,5.7788e+06,5.274e+06,4.9857e+06,5.1756e+06,2
3.7799e+06,2.7219e+06,2.7717e+06,2.6354e+06,2.1823e+06,2.0055e+06,4
3.9238e+06,1.954e+06,3.107e+06,1.6456e+06,2.8377e+06,1.5427e+06,3
6.4351e+06,7.4162e+06,7.1685e+06,5.3689e+06,5.2917e+06,5.3909e+06,2
5.4719e+06,3.6362e+06,3.8971e+06,3.1082e+06,3.0082e+06,2.8331e+06,2
5.3569e+06,5.7265e+06,3.6081e+06,5.4947e+06,4.7869e+06,5.5644e+06,1
2.5891e+06,1.9713e+06,1.8142e+06,1.8865e+06,1.7212e+06,1.7925e+06,4
3.6105e+06,2.5198e+06,2.5025e+06,2.0331e+06,2.5385e+06,1.6337e+06,3
1.5715e+06,1.3317e+06,1.5354e+06,1.2393e+06,1.3921e+06,1.6299e+06,1
5.7479e+06,3.8478e+06,4.6967e+06,3.9183e+06,4.0319e+06,2.7574e+06,3
3.9062e+06,3.5724e+06,3.3229e+06,3.0572e+06,2.9871e+06,3.0086e+06,2
3.5468e+06,2.6647e+06,2.9872e+06,2.649e+06,2.504e+06,2.521e+06,2
3.1696e+06,2.6724e+06,2.8794e+06,2.2615e+06,3.2762e+06,1.8274e+06,4
2.4081e+06,2.0161e+06,1.7867e+06,2.543e+06,2.4261e+06,2.255e+06,1
4.8995e+06,2.7416e+06,3.825e+06,2.7548e+06,3.3662e+06,2.1198e+06,3
2.8073e+06,1.9367e+06,1.98e+06,2.1653e+06,2.5302e+06,2.5926e+06,1
3.1136e+06,2.3319e+06,2.5078e+06,3.1968e+06,2.4111e+06,2.8146e+06,4
3.8461e+06,2.9364e+06,2.3339e+06,3.4128e+06,2.2443e+06,1.8229e+06,4
3.7463e+06,2.8037e+06,2.6859e+06,2.8311e+06,2.4099e+06,2.7382e+06,2
4.6096e+06,4.5158e+06,4.2179e+06,4.049e+06,3.9118e+06,4.514e+06,2
4.4781e+06,2.3482e+06,3.0645e+06,2.3401e+06,3.1167e+06,1.8111e+06,3
2.0798e+06,1.5402e+06,1.7256e+06,1.3605e+06,1.2721e+06,1.466e+06,1
3.0589e+06,2.0524e+06,2.5524e+06,1.8408e+06,2.0086e+06,1.6765e+06,3
2.8289e+06,1.6513e+06,2.0513e+06,1.8406e+06,2.075e+06,1.4781e+06,3
5.254e+06,3.7373e+06,3.4326e+06,4.0436e+06,2.8665e+06,2.6899e+06,4
9.0307e+06,3.903e+06,5.0524e+06,4.6865e+06,5.9229e+06,3.2846e+06,3
2.7726e+06,2.2368e+06,2.2649e+06,2.5555e+06,2.3766e+06,2.4822e+06,1
2.1449e+06,2.0651e+06,2.0355e+06,2.0177e+06,2.3576e+06,2.5676e+06,1
7.9132e+06,4.2897e+06,5.7217e+06,4.6936e+06,5.1534e+06,3.0071e+06,3
7.6856e+06,4.2214e+06,6.382e+06,3.4561e+06,6.6304e+06,3.1256e+06,3
2.5983e+06,1.8377e+06,1.7762e+06,1.6957e+06,1.6975e+06,1.6669e+06,3
6.913e+06,5.5041e+06,5.8338e+06,5.3409e+06,6.3792e+06,4.3009e+06,3
2.4359e+06,1.964e+06,2.0391e+06,1.9264e+06,2.0881e+06,1.5053e+06,1
3.4919e+06,3.0043e+06,2.8328e+06,3.4368e+06,2.7026e+06,3.3354e+06,1
2.6874e+06,2.3793e+06,2.796e+06,1.8007e+06,2.3452e+06,2.267e+06,2
3.0927e+06,2.8335e+06,3.0306e+06,2.7798e+06,2.419e+06,2.5901e+06,1
3.7765e+06,2.6635e+06,3.0205e+06,2.7829e+06,2.8125e+06,2.3131e+06,4
3.9703e+06,1.81e+06,2.7599e+06,2.0341e+06,2.3084e+06,1.7934e+06,3
3.2219e+06,2.5163e+06,2.4133e+06,2.0105e+06,2.01e+06,2.4397e+06,2
4.0231e+06,2.3156e+06,2.6162e+06,2.2552e+06,2.7086e+06,2.1457e+06,3
3.1051e+06,2.4572e+06,2.0413e+06,2.3604e+06,1.909e+06,1.6615e+06,4
2.8785e+06,1.9874e+06,2.2296e+06,2.4337e+06,2.449e+06,2.5918e+06,1
2.3687e+06,2.1553e+06,2.2358e+06,2.1109e+06,1.7693e+06,2.3013e+06,4
5.7815e+06,5.8242e+06,4.3906e+06,6.3668e+06,5.5987e+06,4.4729e+06,1
3.9294e+06,2.5667e+06,2.8348e+06,3.0133e+06,3.0331e+06,2.6855e+06,4
2.989e+06,2.0642e+06,1.8422e+06,1.8714e+06,1.7786e+06,1.469e+06,4
5.0322e+06,3.9753e+06,3.0355e+06,3.7415e+06,2.911e+06,2.6697e+06,4
2.1069e+06,1.3644e+06,1.4119e+06,1.5122e+06,1.4173e+06,1.1854e+06,4
3.0876e+06,2.8208e+06,2.6277e+06,2.3359e+06,2.2907e+06,2.1057e+06,2
3.3574e+06,2.4659e+06,2.9404e+06,2.5166e+06,2.6522e+06,3.299e+06,2
1.8022e+06,1.6297e+06,1.5072e+06,1.6603e+06,2.2281e+06,1.9554e+06,1
4.2803e+06,2.6699e+06,2.9103e+06,2.8572e+06,2.4438e+06,2.0953e+06,3
2.5958e+06,2.3521e+06,2.0206e+06,1.9599e+06,2.0291e+06,1.5502e+06,2
2.1674e+06,2.089e+06,2.2173e+06,1.5859e+06,1.8238e+06,2.0539e+06,2
2.2285e+06,1.8498e+06,1.9511e+06,2.0998e+06,1.8981e+06,1.5428e+06,2
3.8017e+06,3.7135e+06,3.2457e+06,4.0396e+06,3.7453e+06,3.0939e+06,1
1.6861e+06,1.6404e+06,1.5946e+06,1.3065e+06,1.4793e+06,1.55e+06,2
6.4171e+06,4.4703e+06,4.798e+06,4.354e+06,3.7915e+06,2.9413e+06,4
1.8009e+06,1.3397e+06,1.1654e+06,1.5761e+06,1.3517e+06,1.0868e+06,2